model,reasoning_type,complexity,mean_accuracy,std_accuracy,cv,n_runs
gemini_3_flash_preview,multihop,2,0.8666666666666667,0.05773502691896257,0.06661733875264911,3
gemini_3_flash_preview,multihop,3,0.9333333333333332,0.11547005383792514,0.12371791482634838,3
gemini_3_flash_preview,multihop,4,0.5666666666666665,0.15275252316519464,0.26956327617387293,3
gemini_3_flash_preview,temporal,1,0.8518518518518517,0.25660011963983365,0.30122622740328303,3
gemini_3_flash_preview,temporal,2,0.7333333333333333,0.1527525231651947,0.2082988952252655,3
gemini_3_flash_preview,temporal,3,0.8000000000000002,1.3597399555105182e-16,1.6996749443881474e-16,3
gemini_3_flash_preview,temporal,4,0.8666666666666667,0.11547005383792512,0.13323467750529822,3
gemini_3_flash_preview,weighted,1,1.0,0.0,0.0,3
gemini_3_flash_preview,weighted,2,0.8000000000000002,0.10000000000000003,0.12500000000000003,3
gemini_3_flash_preview,weighted,3,0.8666666666666667,0.05773502691896257,0.06661733875264911,3
gemini_3_flash_preview,weighted,4,0.7000000000000001,0.10000000000000003,0.1428571428571429,3
gemini_3_pro_preview,conflicting,1,1.0,0.0,0.0,3
gemini_3_pro_preview,conflicting,2,0.9666666666666667,0.05773502691896256,0.059725889916168166,3
gemini_3_pro_preview,conflicting,3,1.0,0.0,0.0,3
gemini_3_pro_preview,conflicting,4,1.0,0.0,0.0,3
gemini_3_pro_preview,hierarchical,1,0.8333333333333334,0.28867513459481287,0.3464101615137754,3
gemini_3_pro_preview,hierarchical,2,0.9666666666666667,0.05773502691896257,0.05972588991616817,3
gemini_3_pro_preview,hierarchical,3,0.9333333333333332,0.05773502691896257,0.06185895741317419,3
gemini_3_pro_preview,hierarchical,4,1.0,0.0,0.0,3
gemini_3_pro_preview,multihop,1,1.0,0.0,0.0,3
gemini_3_pro_preview,multihop,2,0.8666666666666667,0.05773502691896257,0.06661733875264911,3
gemini_3_pro_preview,multihop,3,0.9,0.0,0.0,3
gemini_3_pro_preview,multihop,4,0.9,0.09999999999999998,0.11111111111111108,3
gemini_3_pro_preview,temporal,1,0.7777777777777777,0.3849001794597505,0.4948716593053936,3
gemini_3_pro_preview,temporal,2,0.7000000000000001,0.2,0.2857142857142857,3
gemini_3_pro_preview,temporal,3,0.8333333333333334,0.05773502691896256,0.06928203230275506,3
gemini_3_pro_preview,temporal,4,0.9333333333333332,0.11547005383792512,0.12371791482634836,3
